date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:18	19098/19098	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Oct%202016%2007:00:12%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref3322.html	(from )
09:00:18	152/152	---M-Z	200	added ('OK')	text/plain	etag:%22a27b7-12d-51bdfe919ea80%22	http://test:ariadne@test.infodienst-ausschreibungen.at/robots.txt		(from )
09:00:18	855/855	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2004:37:24%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/RUYF56dBrZAHFAosXAXKSXD41qKZjRNj2fSC82uGmfL.css	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/RUYF56dBrZAHFAosXAXKSXD41qKZjRNj2fSC82uGmfL.css	(from http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de)
09:00:19	149833/149833	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2004:37:26%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/iHWJT92xbTWs4JO2Ss9lCYMMai7TnjkW8t1069PWnP1.css	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/iHWJT92xbTWs4JO2Ss9lCYMMai7TnjkW8t1069PWnP1.css	(from http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de)
09:00:20	1069/1069	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2004:37:24%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/Cz45u3y5Y0kFGMAedi5kSZSWOuSLxnjhOktI3DDgNwk.css	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/Cz45u3y5Y0kFGMAedi5kSZSWOuSLxnjhOktI3DDgNwk.css	(from http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de)
09:00:20	181/181	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2004:37:24%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/hVDVjnehs3tucqUcutXhoBCC7nlxeq769iK2egbvCmP.css	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/hVDVjnehs3tucqUcutXhoBCC7nlxeq769iK2egbvCmP.css	(from http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de)
09:00:20	43/43	---M-Z	200	added ('OK')	image/gif	date:Tue,%2003%20Nov%202015%2013:54:18%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/udmyALOrVimEmDdYO8aiINXYNUKNg2Mv0Pi1mHtOgYd.gif	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/udmyALOrVimEmDdYO8aiINXYNUKNg2Mv0Pi1mHtOgYd.gif	(from http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de)
09:00:21	952/952	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202015%2013:54:18%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/iFbBQAnfSPTajkk3Lr76gcZdc3Q67vWuJZLnTnEWX5K.png	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/iFbBQAnfSPTajkk3Lr76gcZdc3Q67vWuJZLnTnEWX5K.png	(from http://test:ariadne@test.infodienst-ausschreibungen.at/static/RUYF56dBrZAHFAosXAXKSXD41qKZjRNj2fSC82uGmfL.css)
09:00:21	111036/111036	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2003%20Oct%202016%2004:37:52%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/81GIN0bjdn8H4qtmaR2vplU0XnQ8y5IoqQD6yUehBo3.js	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/81GIN0bjdn8H4qtmaR2vplU0XnQ8y5IoqQD6yUehBo3.js	(from http://test:ariadne@test.infodienst-ausschreibungen.at/landingPage/LP-ausschreibungen-allg_ref?lang=de)
09:00:22	2022/2022	---M-Z	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202015%2013:54:18%20GMT	http://test:ariadne@test.infodienst-ausschreibungen.at/static/hpmqjKpogkRrkWGLJB4myT5gTlsvzhgxaTlhysFHcGN.png	C:/Users/Qin%20Lin/Google%20Drive/gfx/Infodienst/infodienst-ausschreibungen%20Landing%20page/test.infodienst-ausschreibungen.at/static/hpmqjKpogkRrkWGLJB4myT5gTlsvzhgxaTlhysFHcGN.png	(from http://test:ariadne@test.infodienst-ausschreibungen.at/static/iHWJT92xbTWs4JO2Ss9lCYMMai7TnjkW8t1069PWnP1.css)
